characteristic_uuid,characteristic_name
00000000-0000-1000-8000-00805f9b34fb,Base GUID
00000001-0000-1000-8000-008025000000,Stollmann UART RX
00000001-0000-1000-8000-00805f9b34fb,Service Discovery Protocol (SDP)
00000002-0000-1000-8000-008025000000,Stollmann UART TX
00000002-0000-1000-8000-00805f9b34fb,User Datagram Protocol (UDP)
00000003-0000-1000-8000-00805f9b34fb,Radio Frequency Communication Protocol (RFCOMM)
00000004-0000-1000-8000-008025000000,Stollmann Credits UART RX
00000004-0000-1000-8000-00805f9b34fb,TCP
00000005-0000-1000-8000-00805f9b34fb,TCSBIN
00000006-0000-1000-8000-00805f9b34fb,TCSAT
00000008-0000-1000-8000-00805f9b34fb,Object Exchange Protocol (OBEX)
00000009-0000-1000-8000-00805f9b34fb,IP
0000000a-0000-1000-8000-00805f9b34fb,FTP
0000000c-0000-1000-8000-00805f9b34fb,HTTP
0000000e-0000-1000-8000-00805f9b34fb,WSP
0000000f-0000-1000-8000-00805f9b34fb,BNEP_SVC
00000010-0000-1000-8000-00805f9b34fb,UPNP Protocol
00000011-0000-1000-8000-00805f9b34fb,HIDP
00000012-0000-1000-8000-00805f9b34fb,Hardcopy Control Channel Protocol
00000014-0000-1000-8000-00805f9b34fb,Hardcopy Data Channel Protocol
00000016-0000-1000-8000-00805f9b34fb,Hardcopy Notification Protocol
00000017-0000-1000-8000-00805f9b34fb,VCTP Protocol
00000019-0000-1000-8000-00805f9b34fb,VDTP Protocol
0000001b-0000-1000-8000-00805f9b34fb,CMPT Protocol
0000001d-0000-1000-8000-00805f9b34fb,UDI C Plane Protocol
0000001e-0000-1000-8000-00805f9b34fb,MCAP Control Channel
0000001f-0000-1000-8000-00805f9b34fb,MCAP Data Channel
00000100-0000-1000-8000-00805f9b34fb,L2CAP
00001000-0000-1000-8000-00805f9b34fb,Service Discovery Server
00001001-0000-1000-8000-00805f9b34fb,Browse Group Descriptor
00001002-0000-1000-8000-00805f9b34fb,Public Browse Group
00001101-0000-1000-8000-00805f9b34fb,SPP
00001102-0000-1000-8000-00805f9b34fb,LAN Access Using PPP
00001103-0000-1000-8000-00805f9b34fb,DUN_GW
00001104-0000-1000-8000-00805f9b34fb,OBEX_SYNC
00001105-0000-1000-8000-00805f9b34fb,OBEX Object Push
00001106-0000-1000-8000-00805f9b34fb,OBEX File Transfer
00001107-0000-1000-8000-00805f9b34fb,IrMC Sync Command
00001108-0000-1000-8000-00805f9b34fb,HSP_HS
00001109-0000-1000-8000-00805f9b34fb,Cordless Telephony
0000110a-0000-1000-8000-00805f9b34fb,A2DP Audio Source
0000110b-0000-1000-8000-00805f9b34fb,A2DP Audio Sink
0000110c-0000-1000-8000-00805f9b34fb,AV Remote Control Target
0000110d-0000-1000-8000-00805f9b34fb,ADVANCED_AUDIO
0000110e-0000-1000-8000-00805f9b34fb,AVRCP_REMOTE
